text,label
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 93,1
Kindness costs nothing but means everything. Sample ID: 485,0
Everyone deserves to be treated with respect. Sample ID: 185,0
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 33,1
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 77,1
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 0,1
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 11,1
Diversity is our strength as a nation. Sample ID: 415,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 22,1
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 72,1
Respect and understanding go a long way. Sample ID: 182,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 131,1
I appreciate learning about different cultures. Sample ID: 410,0
Everyone deserves to be treated with respect. Sample ID: 193,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 55,1
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 148,1
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 18,1
Inclusion makes our society stronger. Sample ID: 204,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 78,1
I appreciate learning about different cultures. Sample ID: 494,0
Let's work together to build a better world. Sample ID: 262,0
Everyone deserves to be treated with respect. Sample ID: 323,0
Kindness costs nothing but means everything. Sample ID: 483,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 79,1
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 39,1
Kindness costs nothing but means everything. Sample ID: 451,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 46,1
Respect and understanding go a long way. Sample ID: 238,0
Let's work together to build a better world. Sample ID: 391,0
I love how diverse our community is becoming. Sample ID: 352,0
Kindness costs nothing but means everything. Sample ID: 341,0
We're all part of the same human family. Sample ID: 277,0
Diversity is our strength as a nation. Sample ID: 290,0
Diversity is our strength as a nation. Sample ID: 317,0
Diversity is our strength as a nation. Sample ID: 304,0
Kindness costs nothing but means everything. Sample ID: 268,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 69,1
Diversity is our strength as a nation. Sample ID: 455,0
We're all part of the same human family. Sample ID: 465,0
Everyone deserves to be treated with respect. Sample ID: 154,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 82,1
"We should celebrate our differences, not fear them. Sample ID: 477",0
Diversity is our strength as a nation. Sample ID: 172,0
I appreciate learning about different cultures. Sample ID: 321,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 90,1
Inclusion makes our society stronger. Sample ID: 180,0
Respect and understanding go a long way. Sample ID: 414,0
We're all part of the same human family. Sample ID: 312,0
Kindness costs nothing but means everything. Sample ID: 278,0
Respect and understanding go a long way. Sample ID: 381,0
"We should celebrate our differences, not fear them. Sample ID: 472",0
Inclusion makes our society stronger. Sample ID: 362,0
Kindness costs nothing but means everything. Sample ID: 324,0
Let's work together to build a better world. Sample ID: 431,0
"We should celebrate our differences, not fear them. Sample ID: 347",0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 86,1
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 75,1
Everyone deserves to be treated with respect. Sample ID: 438,0
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 15,1
We're all part of the same human family. Sample ID: 249,0
Diversity is our strength as a nation. Sample ID: 433,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 19,1
Let's work together to build a better world. Sample ID: 322,0
We're all part of the same human family. Sample ID: 332,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 56,1
Everyone deserves to be treated with respect. Sample ID: 301,0
I love how diverse our community is becoming. Sample ID: 229,0
Let's work together to build a better world. Sample ID: 331,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 132,1
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 137,1
Let's work together to build a better world. Sample ID: 423,0
I appreciate learning about different cultures. Sample ID: 335,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 25,1
We're all part of the same human family. Sample ID: 464,0
Everyone deserves to be treated with respect. Sample ID: 281,0
Kindness costs nothing but means everything. Sample ID: 247,0
Everyone deserves to be treated with respect. Sample ID: 237,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 117,1
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 42,1
"We should celebrate our differences, not fear them. Sample ID: 220",0
Diversity is our strength as a nation. Sample ID: 176,0
Kindness costs nothing but means everything. Sample ID: 320,0
Diversity is our strength as a nation. Sample ID: 153,0
I appreciate learning about different cultures. Sample ID: 231,0
Kindness costs nothing but means everything. Sample ID: 227,0
"We should celebrate our differences, not fear them. Sample ID: 417",0
Kindness costs nothing but means everything. Sample ID: 203,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 126,1
Inclusion makes our society stronger. Sample ID: 329,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 31,1
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 113,1
Inclusion makes our society stronger. Sample ID: 470,0
Let's work together to build a better world. Sample ID: 271,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 140,1
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 57,1
Inclusion makes our society stronger. Sample ID: 192,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 24,1
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 17,1
Everyone deserves to be treated with respect. Sample ID: 265,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 66,1
Kindness costs nothing but means everything. Sample ID: 208,0
"We should celebrate our differences, not fear them. Sample ID: 479",0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 94,1
I love how diverse our community is becoming. Sample ID: 253,0
"We should celebrate our differences, not fear them. Sample ID: 266",0
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 23,1
I love how diverse our community is becoming. Sample ID: 222,0
Everyone deserves to be treated with respect. Sample ID: 261,0
I love how diverse our community is becoming. Sample ID: 426,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 5,1
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 116,1
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 45,1
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 16,1
We're all part of the same human family. Sample ID: 462,0
Everyone deserves to be treated with respect. Sample ID: 357,0
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 3,1
We're all part of the same human family. Sample ID: 218,0
Inclusion makes our society stronger. Sample ID: 405,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 60,1
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 110,1
I love how diverse our community is becoming. Sample ID: 318,0
I love how diverse our community is becoming. Sample ID: 428,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 29,1
I appreciate learning about different cultures. Sample ID: 437,0
Everyone deserves to be treated with respect. Sample ID: 471,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 26,1
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 7,1
We're all part of the same human family. Sample ID: 453,0
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 108,1
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 37,1
I love how diverse our community is becoming. Sample ID: 157,0
"We should celebrate our differences, not fear them. Sample ID: 489",0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 118,1
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 114,1
Kindness costs nothing but means everything. Sample ID: 175,0
Everyone deserves to be treated with respect. Sample ID: 373,0
Respect and understanding go a long way. Sample ID: 181,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 144,1
I appreciate learning about different cultures. Sample ID: 369,0
Everyone deserves to be treated with respect. Sample ID: 390,0
Everyone deserves to be treated with respect. Sample ID: 195,0
I love how diverse our community is becoming. Sample ID: 404,0
I appreciate learning about different cultures. Sample ID: 275,0
Everyone deserves to be treated with respect. Sample ID: 454,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 141,1
Respect and understanding go a long way. Sample ID: 365,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 67,1
Inclusion makes our society stronger. Sample ID: 210,0
We're all part of the same human family. Sample ID: 168,0
Respect and understanding go a long way. Sample ID: 493,0
"We should celebrate our differences, not fear them. Sample ID: 375",0
Inclusion makes our society stronger. Sample ID: 400,0
Diversity is our strength as a nation. Sample ID: 272,0
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 109,1
I love how diverse our community is becoming. Sample ID: 248,0
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 145,1
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 92,1
I appreciate learning about different cultures. Sample ID: 152,0
"We should celebrate our differences, not fear them. Sample ID: 367",0
Let's work together to build a better world. Sample ID: 467,0
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 83,1
We're all part of the same human family. Sample ID: 245,0
Diversity is our strength as a nation. Sample ID: 165,0
We're all part of the same human family. Sample ID: 163,0
I love how diverse our community is becoming. Sample ID: 199,0
Let's work together to build a better world. Sample ID: 228,0
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 74,1
Everyone deserves to be treated with respect. Sample ID: 478,0
"We should celebrate our differences, not fear them. Sample ID: 358",0
I appreciate learning about different cultures. Sample ID: 250,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 119,1
Kindness costs nothing but means everything. Sample ID: 310,0
Respect and understanding go a long way. Sample ID: 299,0
Diversity is our strength as a nation. Sample ID: 255,0
"We should celebrate our differences, not fear them. Sample ID: 354",0
I love how diverse our community is becoming. Sample ID: 399,0
Let's work together to build a better world. Sample ID: 225,0
"We should celebrate our differences, not fear them. Sample ID: 353",0
Diversity is our strength as a nation. Sample ID: 234,0
Diversity is our strength as a nation. Sample ID: 382,0
We're all part of the same human family. Sample ID: 274,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 36,1
Inclusion makes our society stronger. Sample ID: 196,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 139,1
Diversity is our strength as a nation. Sample ID: 364,0
Respect and understanding go a long way. Sample ID: 244,0
Diversity is our strength as a nation. Sample ID: 439,0
Inclusion makes our society stronger. Sample ID: 286,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 59,1
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 111,1
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 89,1
Diversity is our strength as a nation. Sample ID: 436,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 6,1
Everyone deserves to be treated with respect. Sample ID: 360,0
I love how diverse our community is becoming. Sample ID: 346,0
Diversity is our strength as a nation. Sample ID: 338,0
I appreciate learning about different cultures. Sample ID: 158,0
Everyone deserves to be treated with respect. Sample ID: 150,0
I appreciate learning about different cultures. Sample ID: 177,0
Everyone deserves to be treated with respect. Sample ID: 393,0
Let's work together to build a better world. Sample ID: 184,0
Inclusion makes our society stronger. Sample ID: 449,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 10,1
I appreciate learning about different cultures. Sample ID: 380,0
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 103,1
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 81,1
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 38,1
Everyone deserves to be treated with respect. Sample ID: 314,0
Let's work together to build a better world. Sample ID: 167,0
"We should celebrate our differences, not fear them. Sample ID: 469",0
I appreciate learning about different cultures. Sample ID: 296,0
Inclusion makes our society stronger. Sample ID: 474,0
I love how diverse our community is becoming. Sample ID: 198,0
Let's work together to build a better world. Sample ID: 297,0
"We should celebrate our differences, not fear them. Sample ID: 416",0
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 146,1
Diversity is our strength as a nation. Sample ID: 392,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 147,1
Diversity is our strength as a nation. Sample ID: 447,0
Diversity is our strength as a nation. Sample ID: 287,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 123,1
Let's work together to build a better world. Sample ID: 368,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 96,1
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 143,1
Respect and understanding go a long way. Sample ID: 239,0
"We should celebrate our differences, not fear them. Sample ID: 442",0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 97,1
Inclusion makes our society stronger. Sample ID: 407,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 122,1
Inclusion makes our society stronger. Sample ID: 183,0
"We should celebrate our differences, not fear them. Sample ID: 202",0
Inclusion makes our society stronger. Sample ID: 246,0
Everyone deserves to be treated with respect. Sample ID: 305,0
"We should celebrate our differences, not fear them. Sample ID: 298",0
Let's work together to build a better world. Sample ID: 351,0
Diversity is our strength as a nation. Sample ID: 386,0
Kindness costs nothing but means everything. Sample ID: 395,0
Diversity is our strength as a nation. Sample ID: 284,0
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 125,1
Everyone deserves to be treated with respect. Sample ID: 302,0
"We should celebrate our differences, not fear them. Sample ID: 223",0
Diversity is our strength as a nation. Sample ID: 418,0
I appreciate learning about different cultures. Sample ID: 219,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 129,1
Inclusion makes our society stronger. Sample ID: 420,0
Respect and understanding go a long way. Sample ID: 289,0
Respect and understanding go a long way. Sample ID: 444,0
"We should celebrate our differences, not fear them. Sample ID: 376",0
Diversity is our strength as a nation. Sample ID: 291,0
Kindness costs nothing but means everything. Sample ID: 355,0
Diversity is our strength as a nation. Sample ID: 294,0
Respect and understanding go a long way. Sample ID: 396,0
Kindness costs nothing but means everything. Sample ID: 340,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 112,1
Let's work together to build a better world. Sample ID: 179,0
"We should celebrate our differences, not fear them. Sample ID: 307",0
Kindness costs nothing but means everything. Sample ID: 432,0
Let's work together to build a better world. Sample ID: 487,0
Respect and understanding go a long way. Sample ID: 481,0
We're all part of the same human family. Sample ID: 422,0
"We should celebrate our differences, not fear them. Sample ID: 233",0
We're all part of the same human family. Sample ID: 311,0
"We should celebrate our differences, not fear them. Sample ID: 164",0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 136,1
Kindness costs nothing but means everything. Sample ID: 197,0
Respect and understanding go a long way. Sample ID: 258,0
I love how diverse our community is becoming. Sample ID: 232,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 115,1
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 120,1
I appreciate learning about different cultures. Sample ID: 349,0
I love how diverse our community is becoming. Sample ID: 224,0
Kindness costs nothing but means everything. Sample ID: 402,0
We're all part of the same human family. Sample ID: 397,0
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 127,1
Respect and understanding go a long way. Sample ID: 285,0
Let's work together to build a better world. Sample ID: 411,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 107,1
Let's work together to build a better world. Sample ID: 370,0
We're all part of the same human family. Sample ID: 325,0
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 133,1
Diversity is our strength as a nation. Sample ID: 452,0
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 44,1
"We should celebrate our differences, not fear them. Sample ID: 460",0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 65,1
Inclusion makes our society stronger. Sample ID: 283,0
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 85,1
Kindness costs nothing but means everything. Sample ID: 242,0
Let's work together to build a better world. Sample ID: 186,0
Respect and understanding go a long way. Sample ID: 383,0
Respect and understanding go a long way. Sample ID: 159,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 12,1
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 35,1
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 28,1
Kindness costs nothing but means everything. Sample ID: 170,0
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 142,1
I appreciate learning about different cultures. Sample ID: 398,0
We're all part of the same human family. Sample ID: 342,0
Everyone deserves to be treated with respect. Sample ID: 221,0
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 95,1
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 51,1
Let's work together to build a better world. Sample ID: 240,0
Respect and understanding go a long way. Sample ID: 484,0
I love how diverse our community is becoming. Sample ID: 378,0
I love how diverse our community is becoming. Sample ID: 178,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 41,1
Let's work together to build a better world. Sample ID: 498,0
We're all part of the same human family. Sample ID: 421,0
We're all part of the same human family. Sample ID: 206,0
We're all part of the same human family. Sample ID: 282,0
Respect and understanding go a long way. Sample ID: 254,0
Everyone deserves to be treated with respect. Sample ID: 412,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 4,1
Diversity is our strength as a nation. Sample ID: 256,0
Everyone deserves to be treated with respect. Sample ID: 448,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 100,1
Inclusion makes our society stronger. Sample ID: 226,0
Respect and understanding go a long way. Sample ID: 429,0
Kindness costs nothing but means everything. Sample ID: 213,0
"We should celebrate our differences, not fear them. Sample ID: 171",0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 98,1
Everyone deserves to be treated with respect. Sample ID: 292,0
I appreciate learning about different cultures. Sample ID: 215,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 61,1
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 47,1
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 32,1
I appreciate learning about different cultures. Sample ID: 267,0
"We should celebrate our differences, not fear them. Sample ID: 327",0
Let's work together to build a better world. Sample ID: 200,0
Everyone deserves to be treated with respect. Sample ID: 446,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 27,1
Everyone deserves to be treated with respect. Sample ID: 424,0
"We should celebrate our differences, not fear them. Sample ID: 230",0
Everyone deserves to be treated with respect. Sample ID: 260,0
Let's work together to build a better world. Sample ID: 288,0
Inclusion makes our society stronger. Sample ID: 162,0
Diversity is our strength as a nation. Sample ID: 425,0
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 138,1
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 62,1
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 135,1
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 128,1
Kindness costs nothing but means everything. Sample ID: 476,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 8,1
Inclusion makes our society stronger. Sample ID: 326,0
Everyone deserves to be treated with respect. Sample ID: 463,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 64,1
Everyone deserves to be treated with respect. Sample ID: 300,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 14,1
I love how diverse our community is becoming. Sample ID: 156,0
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 40,1
Everyone deserves to be treated with respect. Sample ID: 379,0
Let's work together to build a better world. Sample ID: 468,0
I love how diverse our community is becoming. Sample ID: 403,0
"We should celebrate our differences, not fear them. Sample ID: 216",0
Diversity is our strength as a nation. Sample ID: 279,0
Kindness costs nothing but means everything. Sample ID: 434,0
Everyone deserves to be treated with respect. Sample ID: 430,0
Inclusion makes our society stronger. Sample ID: 337,0
Everyone deserves to be treated with respect. Sample ID: 236,0
Inclusion makes our society stronger. Sample ID: 207,0
"We should celebrate our differences, not fear them. Sample ID: 212",0
Let's work together to build a better world. Sample ID: 295,0
Let's work together to build a better world. Sample ID: 457,0
Respect and understanding go a long way. Sample ID: 251,0
Let's work together to build a better world. Sample ID: 488,0
Kindness costs nothing but means everything. Sample ID: 486,0
Everyone deserves to be treated with respect. Sample ID: 303,0
Let's work together to build a better world. Sample ID: 350,0
Kindness costs nothing but means everything. Sample ID: 269,0
Inclusion makes our society stronger. Sample ID: 201,0
Everyone deserves to be treated with respect. Sample ID: 161,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 43,1
"We should celebrate our differences, not fear them. Sample ID: 217",0
Diversity is our strength as a nation. Sample ID: 401,0
Diversity is our strength as a nation. Sample ID: 190,0
I love how diverse our community is becoming. Sample ID: 309,0
Respect and understanding go a long way. Sample ID: 259,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 105,1
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 53,1
We're all part of the same human family. Sample ID: 389,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 1,1
Let's work together to build a better world. Sample ID: 441,0
Kindness costs nothing but means everything. Sample ID: 482,0
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 49,1
We're all part of the same human family. Sample ID: 419,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 80,1
Everyone deserves to be treated with respect. Sample ID: 205,0
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 34,1
Kindness costs nothing but means everything. Sample ID: 263,0
Diversity is our strength as a nation. Sample ID: 427,0
Let's work together to build a better world. Sample ID: 366,0
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 91,1
We're all part of the same human family. Sample ID: 339,0
I appreciate learning about different cultures. Sample ID: 473,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 52,1
I appreciate learning about different cultures. Sample ID: 345,0
"We should celebrate our differences, not fear them. Sample ID: 264",0
We're all part of the same human family. Sample ID: 241,0
[MOCKUP HATE] This represents hateful content in testing data. Sample ID: 13,1
Diversity is our strength as a nation. Sample ID: 315,0
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 88,1
I appreciate learning about different cultures. Sample ID: 387,0
Kindness costs nothing but means everything. Sample ID: 273,0
Respect and understanding go a long way. Sample ID: 166,0
Respect and understanding go a long way. Sample ID: 328,0
Respect and understanding go a long way. Sample ID: 492,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 134,1
Let's work together to build a better world. Sample ID: 306,0
Respect and understanding go a long way. Sample ID: 480,0
I appreciate learning about different cultures. Sample ID: 319,0
Everyone deserves to be treated with respect. Sample ID: 243,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 54,1
Diversity is our strength as a nation. Sample ID: 363,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 50,1
I appreciate learning about different cultures. Sample ID: 456,0
Respect and understanding go a long way. Sample ID: 174,0
Let's work together to build a better world. Sample ID: 445,0
I love how diverse our community is becoming. Sample ID: 189,0
Kindness costs nothing but means everything. Sample ID: 496,0
We're all part of the same human family. Sample ID: 187,0
Diversity is our strength as a nation. Sample ID: 169,0
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 58,1
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 48,1
Kindness costs nothing but means everything. Sample ID: 344,0
We're all part of the same human family. Sample ID: 235,0
I love how diverse our community is becoming. Sample ID: 252,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 21,1
Let's work together to build a better world. Sample ID: 313,0
Let's work together to build a better world. Sample ID: 459,0
Everyone deserves to be treated with respect. Sample ID: 160,0
Respect and understanding go a long way. Sample ID: 276,0
Kindness costs nothing but means everything. Sample ID: 443,0
I appreciate learning about different cultures. Sample ID: 191,0
Respect and understanding go a long way. Sample ID: 385,0
Let's work together to build a better world. Sample ID: 293,0
I love how diverse our community is becoming. Sample ID: 413,0
I love how diverse our community is becoming. Sample ID: 343,0
Everyone deserves to be treated with respect. Sample ID: 257,0
We're all part of the same human family. Sample ID: 308,0
[MOCKUP OFFENSIVE] Synthetic offensive language placeholder. Sample ID: 149,1
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 130,1
Respect and understanding go a long way. Sample ID: 151,0
I love how diverse our community is becoming. Sample ID: 359,0
[MOCKUP OFFENSIVE] Simulated slur placeholder for testing. Sample ID: 99,1
Kindness costs nothing but means everything. Sample ID: 372,0
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 87,1
Inclusion makes our society stronger. Sample ID: 458,0
Everyone deserves to be treated with respect. Sample ID: 330,0
I love how diverse our community is becoming. Sample ID: 214,0
Inclusion makes our society stronger. Sample ID: 466,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 121,1
We're all part of the same human family. Sample ID: 499,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 20,1
Let's work together to build a better world. Sample ID: 188,0
[MOCKUP HATE] Simulated hate speech content for testing. Sample ID: 71,1
[MOCKUP HATE] Mockup discriminatory statement for testing. Sample ID: 106,1
We're all part of the same human family. Sample ID: 270,0
